N,P,K,temperature,humidity,ph,rainfall,label
23.87,6.31,7.87,29.54,90.76,7.29,118.35,orange
34.86,11.12,37.87,21.91,88.04,5.67,100.03,pomegranate
17.13,61.96,19.5,20.24,22.56,6.12,81.14,kidneybeans
96.33,13.15,49.97,24.54,85.95,6.17,42.52,watermelon
25.33,54.52,24.55,29.02,84.81,7.21,59.01,mungbean
39.28,57.67,24.28,33.68,70.61,6.21,75.52,blackgram
82.94,50.8,43.97,22.05,84.93,6.35,275.24,rice
63.11,59.36,54.72,24.89,88.04,5.62,281.38,rice
101.42,59.95,21.49,24.19,77.57,6.76,77.81,cotton
122.39,44.94,21.91,26.19,79.13,6.3,99.27,cotton
31.3,70.56,23.33,21.38,33.54,6.6,149.47,pigeonpeas
21.72,9.41,13.73,29.92,92.57,6.26,104.3,orange
49.44,65.25,17.91,29.69,72.87,6.61,63.85,blackgram
25.62,67.13,16.67,27.57,48.8,5.26,44.28,lentil
91.34,93.71,53.42,28.61,75.78,5.66,104.78,banana
27.45,21.19,37.9,29.27,64.62,6.03,105.87,mango
87.33,36.9,42.02,22.46,64.61,6.68,101.23,maize
15.96,142.05,201.67,23.36,90.56,5.5,107.36,apple
16.04,5.19,42.96,21.34,86.31,5.97,118.65,pomegranate
33.67,23.14,32.91,28.27,45.02,6.53,91.75,mango
120.67,44.27,20.15,26.34,81.16,7.27,87.05,cotton
33.66,40.5,19.08,29.66,84.59,6.85,53.26,mungbean
28.94,67.97,19.93,20.81,55.44,6.3,134.35,pigeonpeas
40.49,72.01,75.42,17.42,18.3,5.68,67.49,chickpea
28.58,141.84,201.48,22.65,93.06,6.08,102.13,apple
110.83,16.66,25.41,24.37,59.04,6.73,206.85,coffee
29.73,72.66,19.42,28.58,58.05,6.54,152.65,pigeonpeas
81.82,38.6,38.47,36.04,80.05,6.95,179.65,jute
62.4,44.76,42.74,25.12,86.56,6.36,193.37,jute
71.04,42.01,37.17,31.2,82.87,6.99,150.78,jute
45.55,49.65,51.17,33.65,94.96,6.98,158.1,papaya
21.03,64.1,22.53,19.59,41.88,6.64,36.79,lentil
27.13,135.67,204.57,30.01,81.32,6.98,74.65,grapes
98.5,41.29,44.94,22.11,84.27,5.07,260.96,rice
28.8,19.57,5.84,32.53,90.63,6.79,117.03,orange
20.67,50.01,23.68,27.04,86.49,7.0,55.97,mungbean
33.67,28.01,28.5,34.01,57.17,6.93,97.47,mango
24.77,69.77,18.16,19.51,20.77,6.21,71.95,kidneybeans
30.63,143.27,198.69,28.19,79.65,6.74,60.11,grapes
21.32,41.42,23.37,29.11,83.31,7.01,47.92,mungbean
27.17,19.25,14.99,19.3,91.49,7.72,119.97,orange
29.1,64.1,22.67,33.07,36.79,4.56,182.33,pigeonpeas
94.6,80.81,51.23,25.37,80.04,5.77,107.22,banana
99.2,47.32,41.58,24.43,83.6,5.15,212.89,rice
22.09,57.11,19.56,27.35,54.31,5.24,124.62,pigeonpeas
29.05,19.34,40.31,20.8,94.54,6.78,105.96,pomegranate
80.42,27.92,31.77,23.02,61.02,5.78,199.95,coffee
89.5,8.87,45.38,28.75,91.15,6.15,26.54,muskmelon
31.76,70.54,23.48,26.82,66.46,6.33,74.13,blackgram
60.9,51.46,49.64,32.06,90.75,6.96,144.26,papaya
60.83,60.06,50.53,31.16,91.83,6.88,122.35,papaya
29.54,19.71,36.56,19.58,87.12,7.09,103.74,pomegranate
27.64,61.27,22.89,21.24,21.04,6.41,82.64,kidneybeans
23.97,65.04,83.0,18.02,17.33,7.33,86.56,chickpea
18.8,40.97,20.74,29.41,83.41,6.67,53.51,mungbean
33.35,62.19,22.38,29.42,80.69,6.5,46.27,mungbean
24.88,16.78,25.2,29.73,58.96,6.48,95.92,mango
32.41,67.63,21.73,20.08,54.23,4.85,146.98,pigeonpeas
106.72,15.78,45.73,29.46,92.47,6.85,26.01,muskmelon
26.7,27.24,39.82,30.5,45.95,6.5,102.09,mango
23.88,53.3,24.12,31.96,54.57,7.16,43.08,mothbeans
27.5,66.43,23.83,34.31,30.49,6.52,124.15,pigeonpeas
88.44,19.3,45.54,29.13,92.66,6.48,22.23,muskmelon
66.97,52.27,42.73,26.56,82.06,5.68,211.35,rice
29.19,5.11,40.18,18.26,90.69,7.34,119.37,pomegranate
95.02,11.84,48.44,29.08,93.8,6.85,29.73,muskmelon
32.18,69.97,21.07,28.99,36.41,6.52,134.34,pigeonpeas
26.1,127.18,209.1,24.05,93.89,5.54,108.55,apple
24.66,64.67,23.28,27.75,85.38,7.49,57.15,mungbean
64.54,51.79,45.41,25.41,87.8,6.7,255.19,rice
15.75,56.46,19.03,17.07,19.63,5.78,108.21,kidneybeans
30.51,134.36,205.43,24.7,92.85,5.87,121.39,apple
70.61,41.1,54.46,22.75,93.38,6.26,279.48,rice
33.9,22.34,30.13,35.32,45.49,5.95,100.98,mango
55.48,63.81,51.63,39.81,94.14,6.36,156.01,papaya
28.19,57.2,18.84,31.51,44.53,6.3,38.91,mothbeans
138.8,52.69,21.06,23.34,76.61,7.47,81.57,cotton
24.68,5.95,40.52,23.89,94.97,6.36,106.41,pomegranate
29.09,63.45,20.43,25.16,40.57,5.12,158.64,pigeonpeas
37.12,53.0,50.77,39.53,94.87,6.44,123.63,papaya
23.71,72.34,23.94,29.04,23.79,6.63,49.81,lentil
73.91,51.95,36.31,20.4,72.57,7.09,92.92,maize
40.29,56.04,76.48,21.93,19.79,5.51,98.31,chickpea
87.27,11.21,47.33,28.47,94.36,6.71,25.8,muskmelon
105.17,58.92,20.85,25.97,79.99,6.95,65.5,cotton
28.35,56.59,22.31,16.31,24.01,6.32,92.45,kidneybeans
46.31,79.99,75.48,21.89,16.44,7.68,92.38,chickpea
16.59,54.15,24.36,28.19,82.96,6.22,43.03,mungbean
119.17,16.1,29.26,24.21,58.73,6.07,215.45,coffee
106.76,27.48,33.61,25.33,64.55,5.95,164.61,coffee
20.34,11.6,12.96,25.24,90.55,7.26,103.73,orange
106.29,8.02,45.78,27.15,90.03,6.16,57.09,watermelon
23.58,16.38,8.72,16.1,93.65,6.84,119.63,orange
18.09,131.29,201.12,32.06,79.5,6.46,77.55,grapes
119.26,25.67,31.27,26.49,69.99,6.57,210.93,coffee
23.65,55.62,19.82,18.61,65.17,5.23,164.59,pigeonpeas
19.39,21.43,34.78,33.54,45.01,6.84,93.29,mango
19.95,138.29,201.59,22.19,91.82,5.57,123.96,apple
17.07,21.47,28.45,31.64,50.07,6.85,108.12,mango
22.59,18.66,41.15,20.88,94.34,5.6,104.21,pomegranate
88.2,25.73,37.13,25.26,62.6,5.55,155.55,coffee
19.09,66.82,19.3,23.97,64.2,5.12,125.69,pigeonpeas
98.87,19.03,25.84,25.04,55.79,6.33,174.58,coffee
28.0,136.34,209.34,8.11,79.49,6.89,78.64,grapes
132.19,54.73,21.7,24.79,76.73,6.1,72.32,cotton
17.26,13.55,43.62,21.34,94.95,6.86,101.48,pomegranate
43.14,57.3,54.77,26.89,91.06,6.47,178.12,papaya
25.49,125.72,196.82,22.45,91.02,6.01,128.99,apple
36.68,66.59,23.89,30.69,69.48,7.04,61.02,blackgram
31.77,71.1,23.76,34.79,51.77,5.1,169.34,pigeonpeas
80.72,9.7,53.2,26.22,85.41,6.29,45.96,watermelon
61.6,56.25,47.52,41.23,92.42,6.33,130.89,papaya
30.79,55.44,22.74,26.34,67.02,7.21,68.57,blackgram
32.61,130.84,201.18,9.25,80.99,6.33,71.18,grapes
22.42,67.37,22.81,26.44,53.38,5.17,49.95,lentil
87.84,45.22,38.47,21.1,83.75,6.1,271.46,rice
97.11,25.52,31.52,25.09,66.4,5.76,177.09,coffee
64.65,54.4,47.56,40.15,92.46,6.6,125.74,papaya
46.04,68.64,75.62,19.56,18.84,6.65,66.82,chickpea
113.92,28.8,31.74,25.68,66.13,6.54,221.25,coffee
81.7,42.42,41.97,29.66,89.71,7.02,184.23,jute
18.26,45.85,18.17,30.68,64.37,4.11,39.26,mothbeans
32.13,10.94,36.99,20.97,88.86,7.33,115.24,pomegranate
36.95,64.5,51.81,32.1,93.51,6.76,166.8,papaya
20.37,60.75,22.6,35.43,54.15,4.73,126.05,pigeonpeas
28.89,121.39,199.27,24.28,90.32,6.36,102.76,apple
25.11,60.2,18.45,21.42,20.03,5.97,113.41,kidneybeans
21.19,14.25,10.34,15.46,90.82,6.47,110.05,orange
30.08,54.45,24.33,30.54,58.93,3.75,30.28,mothbeans
81.95,52.3,48.04,21.57,90.68,5.47,232.54,rice
27.98,63.86,19.06,28.43,86.02,6.87,48.03,mungbean
85.47,19.13,52.55,24.83,84.05,6.81,53.91,watermelon
15.2,6.27,43.08,23.4,94.15,7.21,113.66,pomegranate
15.65,19.61,25.17,29.74,92.95,5.51,178.24,coconut
16.12,6.65,28.84,29.7,95.54,6.37,155.65,coconut
97.8,54.74,35.45,25.1,83.93,6.28,168.19,jute
32.89,9.02,39.11,24.29,93.96,6.87,117.18,pomegranate
29.82,64.08,21.88,15.98,21.4,5.53,90.33,kidneybeans
28.55,50.71,23.12,30.6,43.66,7.25,51.61,mothbeans
88.77,37.53,35.49,35.29,79.12,6.22,151.11,jute
24.31,59.03,18.95,15.28,21.33,6.04,73.66,kidneybeans
69.7,41.73,42.55,20.14,84.83,5.42,232.75,rice
25.18,59.66,23.13,25.06,28.43,5.71,47.56,lentil
53.71,52.15,53.44,32.71,93.63,6.1,143.76,papaya
28.72,19.23,37.68,23.68,85.55,6.58,101.41,pomegranate
27.07,10.84,10.58,24.42,90.83,6.81,106.87,orange
58.74,74.97,77.93,21.9,17.61,6.96,91.18,chickpea
63.56,40.43,42.68,34.94,88.9,6.95,175.7,jute
32.87,16.35,38.32,23.21,86.52,5.76,106.91,pomegranate
122.3,52.88,20.45,25.88,81.43,7.04,94.09,cotton
22.95,64.35,21.81,26.2,57.74,4.72,66.17,mothbeans
25.18,61.54,24.06,27.03,87.78,6.69,59.78,mungbean
21.93,136.37,205.64,28.52,80.14,6.37,66.85,grapes
27.71,48.9,19.04,28.79,88.14,6.57,42.65,mungbean
27.32,60.72,21.4,21.77,58.32,5.1,46.6,lentil
113.86,55.49,19.05,24.31,76.08,7.87,74.55,cotton
28.73,65.66,16.58,19.87,23.55,5.82,111.43,kidneybeans
31.03,21.16,28.45,30.65,61.52,5.07,100.49,mango
80.09,9.55,46.09,28.42,93.39,6.87,27.49,muskmelon
28.77,60.6,23.58,17.05,24.38,6.25,108.29,kidneybeans
28.29,8.21,9.33,14.94,92.74,6.23,100.46,orange
20.2,58.19,19.12,19.27,37.43,6.49,190.54,pigeonpeas
85.54,44.94,30.48,26.86,63.19,7.29,71.5,maize
81.77,54.13,43.87,25.37,84.63,7.46,168.62,jute
80.69,29.91,33.15,25.37,69.32,5.73,165.14,coffee
113.56,51.43,19.79,25.64,75.51,6.99,74.8,cotton
78.13,48.11,33.82,21.61,66.19,5.81,69.1,maize
14.76,62.33,18.73,19.82,51.94,7.12,38.81,lentil
25.62,56.24,16.47,15.05,22.42,5.95,68.06,kidneybeans
25.19,13.19,38.59,18.57,86.93,7.4,108.17,pomegranate
55.04,60.57,52.76,34.1,93.99,6.6,138.87,papaya
96.53,47.78,45.03,25.59,89.75,6.4,279.58,rice
22.82,59.68,19.54,35.28,54.65,6.17,153.26,pigeonpeas
97.12,12.26,50.5,28.48,92.83,6.72,21.1,muskmelon
33.19,44.75,23.75,28.63,80.78,7.43,44.94,mungbean
20.92,63.44,19.11,21.35,23.0,6.11,78.56,kidneybeans
71.07,49.81,43.25,19.9,67.46,6.76,96.66,maize
91.48,41.69,43.81,31.61,89.51,6.82,160.92,jute
28.18,66.44,20.17,18.01,20.22,5.93,106.43,kidneybeans
27.1,68.63,84.85,21.69,14.26,5.91,69.61,chickpea
118.85,57.53,19.78,24.14,83.96,7.72,68.2,cotton
26.12,59.49,18.11,30.55,41.0,7.5,69.68,mothbeans
22.96,143.83,205.54,21.17,93.63,5.98,113.81,apple
61.26,48.79,50.48,25.41,93.82,6.58,157.54,papaya
15.98,7.87,42.91,21.18,88.02,6.27,117.09,pomegranate
116.22,51.38,21.16,25.79,84.96,6.03,77.76,cotton
22.19,22.13,30.45,32.77,63.03,4.91,97.63,mango
24.44,132.4,205.98,11.07,82.01,6.84,61.16,grapes
30.39,23.95,30.06,29.36,47.44,5.77,101.71,mango
97.97,22.4,29.48,23.79,55.71,5.79,196.56,coffee
98.73,27.93,32.56,26.42,63.82,6.76,172.76,coffee
127.14,51.65,20.21,26.44,76.02,6.69,86.91,cotton
17.98,46.7,20.53,27.27,56.99,3.76,31.39,mothbeans
26.01,12.72,33.14,28.61,94.92,5.65,188.52,coconut
25.53,8.41,25.04,26.71,97.75,6.19,158.09,coconut
15.7,11.49,33.27,25.12,95.4,6.43,146.58,coconut
23.41,134.43,208.09,24.45,91.49,5.71,123.25,apple
20.42,19.21,9.64,11.47,93.65,6.66,113.07,orange
31.07,28.46,32.77,31.1,45.62,6.7,90.26,mango
30.94,23.86,26.45,31.93,59.05,6.48,102.58,mango
21.14,12.13,9.49,27.71,93.12,7.29,114.28,orange
100.87,71.85,46.92,29.2,82.25,6.84,93.53,banana
27.6,141.14,199.45,22.42,93.62,6.4,129.29,apple
29.73,134.28,196.0,12.08,81.58,5.91,61.59,grapes
44.19,74.67,15.5,25.97,70.81,6.56,63.69,blackgram
29.33,65.45,18.0,15.54,21.5,6.29,102.43,kidneybeans
16.4,136.94,197.59,20.06,78.37,5.9,75.37,grapes
137.11,45.15,19.08,24.65,77.43,6.26,102.87,cotton
14.32,69.4,16.01,25.48,34.24,7.37,39.67,lentil
106.7,70.32,53.72,27.23,78.43,5.71,103.18,banana
19.67,55.63,23.23,25.75,41.5,4.09,54.24,mothbeans
24.01,136.17,209.29,24.18,90.16,5.83,114.12,apple
63.5,47.62,40.04,30.37,90.97,6.05,188.67,jute
27.83,74.31,18.42,22.06,20.28,7.04,51.51,lentil
103.02,16.85,35.35,26.66,55.64,6.51,183.18,coffee
18.42,11.39,6.87,29.33,92.37,6.7,107.22,orange
14.6,70.18,20.01,28.94,25.86,6.94,39.66,lentil
48.18,70.21,21.76,28.01,62.76,7.51,69.48,blackgram
88.45,77.83,46.79,29.51,78.97,5.87,103.45,banana
19.52,66.97,17.97,17.1,23.2,5.55,114.17,kidneybeans
27.45,5.15,36.95,21.44,94.51,6.27,108.49,pomegranate
90.29,37.07,37.31,28.52,80.38,6.74,173.57,jute
64.96,46.43,45.44,28.69,94.86,6.98,159.3,papaya
24.17,72.17,24.63,25.54,27.36,5.32,51.26,lentil
27.75,19.94,30.08,26.73,91.49,5.5,165.64,coconut
16.08,63.19,18.11,19.74,22.24,5.86,73.07,kidneybeans
29.41,58.94,24.51,21.96,22.98,6.48,94.17,kidneybeans
31.99,41.12,23.14,26.73,51.96,7.68,43.28,mothbeans
62.45,64.78,53.74,41.96,91.22,6.84,169.38,papaya
54.41,73.07,75.68,20.54,17.26,5.7,81.04,chickpea
85.96,12.63,46.57,26.68,89.05,6.11,49.36,watermelon
16.45,29.31,28.35,35.3,53.52,6.96,101.08,mango
28.27,21.12,29.21,33.58,49.84,4.93,100.6,mango
77.39,41.16,41.38,25.19,68.89,6.04,89.51,maize
95.34,73.81,51.67,26.42,80.86,6.38,103.37,banana
67.27,39.59,41.08,23.67,86.48,5.58,261.19,rice
16.62,64.81,19.09,31.91,64.43,7.07,56.38,mothbeans
32.05,138.91,204.16,22.46,90.84,6.28,114.59,apple
21.45,68.46,17.75,17.14,23.52,5.95,107.9,kidneybeans
16.77,68.44,15.52,19.36,20.16,8.0,51.05,lentil
30.09,73.88,79.61,21.21,18.37,7.44,87.97,chickpea
15.07,58.34,22.13,19.66,24.76,6.26,117.05,kidneybeans
137.11,41.89,19.48,25.84,77.26,7.31,68.21,cotton
20.42,66.95,24.06,35.04,34.24,4.96,195.58,pigeonpeas
27.52,63.88,82.84,19.77,14.03,7.4,66.24,chickpea
44.78,71.26,76.52,17.31,18.68,6.65,67.04,chickpea
107.11,11.15,50.25,28.43,92.24,6.78,25.27,muskmelon
30.54,141.81,198.23,10.93,80.9,6.27,76.58,grapes
20.15,73.91,21.77,21.62,27.53,5.91,36.86,lentil
19.45,144.99,197.57,24.09,90.89,5.58,126.25,apple
34.39,49.45,18.43,28.02,85.06,6.24,53.16,mungbean
16.09,74.46,19.58,23.48,42.16,5.19,120.12,pigeonpeas
55.07,79.91,78.68,19.24,18.33,7.72,85.76,chickpea
109.66,49.81,18.3,23.14,79.69,6.8,66.84,cotton
41.41,60.38,75.12,18.21,19.86,7.5,98.59,chickpea
28.87,70.42,22.58,20.73,65.04,6.12,142.6,pigeonpeas
24.12,120.75,200.96,28.0,83.72,6.28,76.38,grapes
34.09,123.21,205.46,23.02,90.1,6.42,125.56,apple
25.29,56.39,16.75,20.99,19.59,6.34,76.76,kidneybeans
47.17,71.9,18.6,31.87,64.69,6.12,74.03,blackgram
38.11,58.38,24.77,33.53,67.47,7.21,64.55,blackgram
15.5,71.78,18.08,30.67,68.81,5.81,138.8,pigeonpeas
94.67,26.41,32.28,24.01,56.87,6.02,161.0,coffee
26.94,63.31,17.58,28.4,46.77,6.34,44.76,lentil
101.07,41.84,20.74,24.72,83.65,7.39,60.41,cotton
31.73,8.73,9.32,26.7,92.15,6.88,101.31,orange
23.99,17.55,40.72,24.99,87.87,6.06,103.19,pomegranate
23.66,15.54,6.83,25.25,93.63,6.63,116.58,orange
25.6,128.04,196.13,24.58,93.21,5.64,123.3,apple
30.46,45.92,22.74,28.53,63.23,5.24,32.65,mothbeans
89.13,20.73,34.81,23.38,64.05,6.9,218.03,coffee
15.13,61.75,15.18,22.8,42.0,6.86,48.27,lentil
79.22,37.62,29.84,26.88,57.85,6.5,90.91,maize
62.69,49.55,31.92,23.59,55.91,7.24,108.67,maize
15.78,7.91,40.37,24.54,93.35,7.19,106.06,pomegranate
109.55,18.17,53.95,28.98,91.72,6.89,22.92,muskmelon
92.59,37.0,42.9,22.93,71.35,6.4,92.18,maize
27.88,49.52,18.38,28.8,89.02,6.57,44.33,mungbean
85.07,36.47,36.9,27.73,79.09,6.29,195.56,jute
75.85,53.96,38.92,19.39,71.32,5.95,71.19,maize
13.13,58.75,15.32,26.92,48.93,5.41,51.72,lentil
49.83,60.06,84.58,18.84,15.96,5.87,75.7,chickpea
23.66,54.89,18.56,29.82,87.55,6.88,56.57,mungbean
17.6,10.6,29.18,26.5,95.25,6.42,158.04,coconut
28.46,11.58,27.34,27.06,95.73,5.61,148.93,coconut
101.04,41.8,19.15,26.89,80.59,6.75,104.44,cotton
22.45,60.69,16.34,19.41,18.38,6.25,79.06,kidneybeans
29.12,60.3,81.11,19.06,19.04,7.75,77.37,chickpea
15.0,57.8,20.5,26.04,40.32,5.93,64.05,mothbeans
90.3,23.16,36.09,26.03,60.88,5.68,212.46,coffee
33.41,62.69,18.47,29.32,71.73,6.97,75.88,blackgram
117.84,46.17,20.43,23.74,81.27,6.35,63.19,cotton
67.01,57.86,33.38,21.45,65.38,5.59,68.31,maize
15.01,61.77,23.55,29.02,58.76,4.18,48.33,mothbeans
13.52,74.69,21.66,21.42,43.43,5.33,54.32,lentil
16.82,63.38,22.51,15.5,18.56,5.85,116.5,kidneybeans
84.5,93.35,46.84,26.26,79.07,6.07,113.84,banana
101.67,7.86,49.42,24.29,84.68,6.74,47.73,watermelon
31.9,133.14,205.37,38.92,80.97,5.97,75.07,grapes
22.45,73.58,19.97,28.12,37.84,7.13,49.64,lentil
39.5,72.96,20.25,32.07,63.78,6.89,62.47,blackgram
69.97,45.26,50.11,21.6,81.15,5.58,216.12,rice
29.98,9.08,36.18,19.76,94.21,6.66,110.67,pomegranate
33.62,15.08,36.22,35.13,47.79,4.74,98.49,mango
24.85,17.56,28.73,29.37,91.71,5.83,140.55,coconut
130.61,57.91,21.16,23.78,81.0,6.66,60.46,cotton
16.67,45.28,23.27,24.41,52.31,5.49,43.38,mothbeans
34.53,56.14,24.54,27.91,87.82,7.15,53.83,mungbean
27.33,72.28,19.07,27.15,25.76,5.03,35.4,lentil
29.5,130.9,204.45,19.92,79.81,6.37,69.96,grapes
17.86,68.84,19.44,25.05,65.83,5.11,160.62,pigeonpeas
93.17,71.06,49.96,27.72,76.68,6.64,119.55,banana
80.79,43.43,41.58,21.88,59.97,6.73,95.34,maize
97.78,76.41,46.9,28.35,75.0,6.71,92.38,banana
93.35,19.99,53.35,29.68,94.12,6.1,22.27,muskmelon
16.08,132.91,202.57,13.23,78.62,5.69,62.02,grapes
23.51,59.71,22.14,28.48,25.07,7.6,46.87,lentil
102.97,11.62,52.16,25.55,82.54,6.63,59.52,watermelon
106.78,94.27,46.76,27.99,79.24,6.17,97.62,banana
26.16,136.28,197.31,23.59,90.73,6.25,110.17,apple
29.72,19.52,31.95,32.39,48.43,6.35,96.05,mango
21.47,56.63,21.9,26.74,43.36,3.92,63.26,mothbeans
111.14,73.28,51.01,25.17,79.98,5.73,95.49,banana
28.12,10.78,13.36,33.75,94.03,6.76,115.77,orange
20.85,9.83,9.38,17.69,94.92,7.63,103.29,orange
28.51,144.01,198.81,24.5,93.7,6.17,127.94,apple
63.28,43.63,43.28,29.63,89.61,7.09,160.47,jute
18.63,25.68,30.77,30.62,60.67,6.91,92.53,mango
81.25,48.52,47.75,25.08,94.64,6.03,232.3,rice
32.7,125.54,201.95,24.46,83.24,6.64,70.26,grapes
35.66,65.32,81.96,17.02,17.72,6.39,92.8,chickpea
38.33,59.46,47.68,38.94,94.98,6.08,148.38,papaya
92.39,41.37,38.63,24.84,66.91,6.44,80.59,maize
103.13,14.92,49.09,29.69,90.81,7.0,21.19,muskmelon
46.75,56.79,47.76,27.98,93.87,6.95,126.03,papaya
62.93,36.79,41.52,29.82,89.07,7.37,169.42,jute
84.97,37.92,43.8,23.65,61.7,5.78,99.7,maize
17.0,143.3,200.62,21.32,91.55,6.1,115.41,apple
23.04,58.07,22.01,22.99,66.85,6.25,167.43,pigeonpeas
80.87,18.5,36.36,25.93,66.74,6.62,154.05,coffee
18.46,128.94,199.36,23.46,93.61,6.46,119.61,apple
21.4,19.09,29.29,26.79,93.52,6.02,174.24,coconut
12.25,66.34,24.32,25.99,52.91,5.04,45.84,lentil
29.89,24.29,37.05,30.89,60.72,5.66,108.82,mango
91.17,15.81,50.55,28.27,92.83,6.37,29.36,muskmelon
65.16,44.13,37.72,27.93,79.32,6.64,199.16,jute
105.73,51.16,18.74,23.16,75.36,7.66,89.57,cotton
17.35,15.34,9.09,15.15,92.01,6.15,113.91,orange
32.63,19.13,42.4,18.61,91.69,6.32,109.41,pomegranate
41.01,58.06,22.28,31.0,70.97,7.54,79.51,blackgram
87.39,39.07,53.22,25.76,94.25,6.45,261.34,rice
20.73,60.07,24.98,24.24,62.43,6.3,68.94,mothbeans
106.93,19.2,48.97,27.65,91.87,6.33,21.76,muskmelon
89.91,13.93,53.72,24.19,84.63,6.16,53.91,watermelon
18.77,73.47,20.45,21.24,48.1,6.98,54.78,lentil
20.39,58.82,22.86,21.94,53.81,5.29,172.96,pigeonpeas
32.07,126.05,208.14,8.67,82.39,6.9,73.14,grapes
17.94,48.57,24.05,25.24,42.07,5.68,42.1,mothbeans
32.63,6.17,42.07,24.44,87.71,6.24,111.38,pomegranate
93.4,53.72,44.89,28.55,91.87,6.23,162.68,jute
90.45,7.69,51.47,25.86,85.94,6.43,59.12,watermelon
99.55,24.66,38.77,24.91,66.48,6.4,224.16,coffee
74.86,38.9,36.14,33.36,88.78,7.45,188.67,jute
24.48,130.36,207.63,21.92,90.02,6.15,106.07,apple
80.87,45.79,40.18,23.12,78.02,6.15,155.08,jute
30.8,17.27,7.9,18.49,94.68,6.33,100.84,orange
19.67,18.95,25.57,28.11,64.73,5.29,92.31,mango
24.64,68.88,20.13,17.14,19.49,5.53,78.24,kidneybeans
83.17,14.97,47.86,24.8,91.24,6.02,48.76,watermelon
33.39,74.87,18.31,31.7,44.87,5.68,180.34,pigeonpeas
133.37,46.08,19.88,26.5,75.53,7.78,70.96,cotton
16.04,5.15,5.22,10.21,90.55,6.48,104.42,orange
86.44,12.75,52.36,26.23,91.15,6.38,49.27,watermelon
93.54,10.76,49.32,29.94,90.44,6.92,24.8,muskmelon
108.01,42.26,21.37,24.03,77.85,7.92,78.95,cotton
27.62,64.43,24.79,19.44,18.88,6.18,79.51,kidneybeans
43.78,67.42,84.88,17.68,18.17,6.51,79.99,chickpea
49.66,67.86,22.18,34.77,65.66,7.6,68.69,blackgram
17.88,61.99,20.96,21.29,21.06,7.21,47.51,lentil
87.55,52.9,41.99,33.29,82.07,6.46,189.15,jute
21.41,6.4,39.27,18.9,94.48,6.45,106.35,pomegranate
84.2,12.7,47.42,27.55,90.32,6.76,24.27,muskmelon
16.08,6.41,30.83,25.26,92.7,6.25,150.6,coconut
99.08,86.06,45.38,28.11,82.78,6.25,100.73,banana
108.16,5.81,45.12,28.98,91.45,6.25,23.31,muskmelon
93.37,90.45,45.38,29.35,80.13,6.1,104.92,banana
73.59,53.12,26.31,20.84,65.79,7.08,75.94,maize
20.87,64.44,19.9,28.16,53.28,6.21,41.67,lentil
21.96,137.76,200.46,37.16,80.73,6.58,62.15,grapes
113.95,22.67,35.6,23.96,65.33,5.91,216.56,coffee
26.05,60.63,77.51,21.25,17.37,6.81,69.02,chickpea
18.58,49.81,24.63,27.42,87.64,6.16,59.63,mungbean
15.55,56.95,16.67,29.08,52.86,6.06,48.12,lentil
44.88,73.38,19.24,28.42,74.42,6.89,69.78,blackgram
103.21,92.6,48.2,28.35,76.88,6.44,100.09,banana
71.56,37.81,36.57,31.95,90.22,6.61,158.48,jute
34.93,26.26,34.67,30.2,45.98,4.58,101.08,mango
31.49,49.92,19.09,29.9,49.01,6.52,40.83,mothbeans
31.89,50.78,20.65,31.32,46.28,7.3,49.36,mothbeans
101.29,19.26,47.45,26.98,86.25,6.27,55.53,watermelon
34.12,69.83,20.47,33.84,68.31,7.07,63.91,blackgram
27.55,10.63,6.41,27.73,94.27,7.37,100.36,orange
92.55,11.61,51.34,27.1,80.41,6.59,43.73,watermelon
23.56,128.27,196.35,23.25,91.92,5.6,118.37,apple
27.19,129.2,201.23,24.33,91.24,6.44,105.39,apple
88.02,28.33,29.83,23.07,67.65,6.91,202.44,coffee
43.83,68.23,15.38,28.68,74.69,6.84,70.04,blackgram
101.54,16.14,45.51,24.88,83.29,6.55,42.89,watermelon
114.45,57.24,19.7,26.66,79.98,6.8,97.52,cotton
71.48,50.42,44.62,23.69,60.2,6.77,87.0,maize
49.4,72.3,21.01,32.01,64.28,7.26,69.11,blackgram
17.67,121.2,206.63,27.97,82.56,5.72,71.44,grapes
56.25,61.24,77.72,20.8,16.7,7.44,67.29,chickpea
19.4,127.05,201.65,13.99,83.24,6.56,61.7,grapes
17.59,14.02,32.12,26.59,94.32,6.19,159.49,coconut
99.04,94.79,52.7,26.05,80.01,5.85,102.29,banana
20.93,41.93,19.19,27.38,81.23,6.78,44.92,mungbean
17.57,54.46,22.85,29.6,58.84,7.43,50.0,mothbeans
130.19,58.67,18.88,26.35,81.9,7.74,99.85,cotton
25.54,60.96,16.05,20.47,22.51,5.55,81.6,kidneybeans
120.59,41.28,19.43,25.4,80.56,6.81,81.45,cotton
83.19,12.38,52.68,24.89,83.23,6.24,59.83,watermelon
16.0,19.3,27.82,26.91,90.73,5.61,180.87,coconut
16.95,120.37,197.42,42.86,79.08,6.25,76.97,grapes
29.2,121.2,201.12,23.82,90.91,6.3,118.92,apple
59.51,51.01,46.5,28.85,92.34,6.42,137.33,papaya
81.71,42.16,46.82,20.21,80.56,6.65,236.02,rice
98.71,5.08,46.86,24.4,84.36,6.5,40.87,watermelon
119.78,15.18,33.11,25.87,68.71,6.26,193.5,coffee
